Location,Year,Month,Temperature,Humidity,Population,GDP,Energy Source,Industry Type,Energy Consumption
City E,2015,9,25.689980376269936,83.59889516939644,602624,36525.059703432504,Non-renewable,Residential,8658.100376056955
City C,2023,12,16.814763695105444,54.31720636679216,912977,55335.56485115212,Non-renewable,Industrial,9443.49933664505
City C,2021,4,13.126453680564829,25.487437781388486,601399,36450.812414680804,Renewable,Industrial,5249.83964721882
City B,2023,12,-8.454547704105174,89.46436596276007,48955,2967.164098644492,Renewable,Commercial,362.62224338503916
City D,2022,6,19.39540709630803,81.2031945086673,99535,6032.819498694301,Renewable,Residential,3536.600444174518
City A,2015,7,-2.2769491651945843,83.25878698325718,395400,23965.20650809993,Non-renewable,Residential,5214.751497598101
City A,2022,8,31.90385060921129,79.58869861804445,457225,27712.421713874533,Renewable,Commercial,5568.47472144839
City C,2022,12,20.857712798405693,42.06035915024663,745188,45165.86825330797,Renewable,Commercial,9001.34217203229
City D,2017,11,21.816524961522642,88.70765757354701,821681,49802.11140309069,Renewable,Industrial,8486.27218501245
City C,2015,9,0.46611226750762036,20.1786042515287,288721,17499.38894341204,Renewable,Commercial,2694.056923739455
City B,2022,9,29.633922712552327,38.98210227070021,383089,23219.036408653246,Non-renewable,Industrial,3648.8324385375695
City B,2017,8,14.197965685244046,23.724767905935657,154000,9333.94487164236,Non-renewable,Residential,3991.8470503854005
City B,2017,10,28.56878800164037,28.847716533516802,776953,47091.14590816329,Renewable,Industrial,8442.069429759378
City C,2015,11,2.192636367452419,62.590331001400436,166310,10080.05436105741,Renewable,Commercial,1911.662549982046
City D,2019,12,23.995777089421075,22.980495195282753,49639,3008.6213602821763,Renewable,Industrial,1080.6051781436054
City E,2021,12,15.855510664702138,34.510483816030366,823433,49908.30017851353,Renewable,Industrial,8530.994330365063
City A,2023,3,-7.821131238523827,38.61921179126622,23199,1406.092123878124,Renewable,Commercial,-501.3965228792973
City E,2021,12,8.240404569797914,72.42710441097773,892012,54064.87553794445,Renewable,Industrial,10504.158115147595
City D,2023,2,-1.7240290694440805,57.50564195585855,721020,43701.045008776455,Non-renewable,Residential,5846.676162024159
City C,2022,5,6.162811454544023,56.67300184443667,334130,20251.62986988222,Renewable,Industrial,3922.757415031716
City C,2016,1,7.250823541935009,81.47460434060996,889421,53907.83494598065,Renewable,Commercial,10065.63960729778
City C,2015,3,11.371775886277316,56.53771296594681,790863,47934.231448192804,Renewable,Commercial,6832.515188951697
City B,2021,1,17.01306992278084,47.879099433443706,752519,45610.20039521712,Renewable,Commercial,8447.47878726633
City B,2021,3,15.693994362418966,96.99608364834663,493167,29890.867470865247,Renewable,Industrial,5158.949726641426
City B,2022,4,-8.245386788275223,20.66346475502856,370354,22447.16765579373,Renewable,Residential,2111.0087778753687
City E,2019,7,23.78101483199248,44.431440006030705,862816,52295.30505435698,Renewable,Commercial,9329.246287829035
City A,2017,12,32.71327480127457,68.75141731037785,160821,9747.365897418156,Renewable,Commercial,3218.4117680666586
City C,2022,12,5.690658004323499,82.62473888422443,997330,60448.20284957841,Renewable,Residential,13613.682297004096
City C,2020,5,-1.9113894397783646,85.31303638068513,481258,29169.062604135448,Renewable,Commercial,4857.992376860031
City E,2017,5,14.300070340192338,23.685850548413796,474504,28759.702450479133,Non-renewable,Industrial,5532.193132712201
City A,2015,1,21.721081770986483,76.73056444460703,135171,8192.718586004996,Renewable,Commercial,2893.216441817395
City A,2017,8,20.550720253744846,77.62029147774535,490370,29721.341212384832,Renewable,Commercial,5667.025035837553
City E,2019,4,17.54493098753862,37.12635371650145,733180,44438.0629934464,Non-renewable,Industrial,8469.356458424343
City C,2017,10,-3.4195486542306144,29.022002277607363,790750,47927.382514618155,Renewable,Residential,7639.705028457589
City D,2015,5,27.657120248134923,79.97489261562417,311882,18903.17788608807,Renewable,Residential,3635.7275436984273
City D,2019,2,9.15297030884669,39.96000049898225,92272,5592.6088389362585,Renewable,Commercial,-35.51833060139029
City A,2021,12,-0.03391376356585063,20.13390432669418,416776,25260.8065443092,Renewable,Industrial,3919.6099482958894
City A,2021,1,-6.118023652160658,37.88580828614889,736509,44639.83378875612,Non-renewable,Industrial,5889.957916842027
City C,2023,9,8.752360173787206,22.485440705305002,872902,52906.61783341792,Renewable,Residential,7427.214729486253
City A,2017,2,17.808787108128833,39.934934935530286,689267,41776.494674300746,Renewable,Residential,8195.20506882642
City E,2021,6,19.94199691181785,46.801566586545675,346835,21021.680321792715,Renewable,Residential,2630.0742973129322
City D,2015,1,33.323161012876554,41.71201276303612,468589,28401.194113363777,Renewable,Industrial,6192.569826508082
City D,2018,1,-3.108336235130916,93.59496537433957,830533,50338.63140311522,Renewable,Industrial,8634.12225862081
City A,2018,9,34.359814933889844,38.602635790822774,885316,53659.03076612291,Non-renewable,Industrial,9287.231830870323
City E,2019,4,19.460414625750257,57.402785822248106,453679,27497.498541700224,Non-renewable,Commercial,4305.043248987685
City A,2021,9,10.440307596824066,96.59420750752376,184806,11201.097506160637,Renewable,Commercial,2416.110840662531
City A,2021,11,29.96874016316717,90.33595930961778,326180,19769.78011839159,Non-renewable,Residential,5574.313915996498
City E,2018,5,21.251588387902675,44.74067796262091,545962,33090.77409098446,Non-renewable,Residential,5205.3262746756445
City E,2021,7,5.692274668565686,46.1192235965975,180963,10968.173154591015,Non-renewable,Commercial,1761.2966798386158
City B,2017,1,29.783856345940777,67.46635220075598,815324,49416.81343199309,Renewable,Commercial,9625.658106397683
City D,2020,6,19.997695556879066,93.4290280603384,121106,7340.238491072206,Renewable,Commercial,729.0184252859317
City A,2016,8,21.447681010739874,20.799983636464265,207201,12558.459164604992,Non-renewable,Commercial,1153.3524572120853
City C,2023,1,30.337544963871174,51.449583374814495,445458,26999.22347163677,Non-renewable,Residential,4993.928218040458
City A,2019,9,10.178729358607484,87.98203890897791,387142,23464.688866866018,Renewable,Commercial,5635.8709232062965
City A,2020,3,19.560684768189045,52.837598270942074,210367,12750.350524758367,Non-renewable,Commercial,2488.8582778132995
City C,2018,1,23.511005973700115,77.60439001759514,92558,5609.943307983594,Renewable,Industrial,1279.2729206190893
City D,2021,1,10.427302615885168,75.35399219297618,747450,45302.96814486417,Renewable,Residential,7966.845680804084
City B,2023,11,-6.244654791799295,36.43669677042938,483174,29285.19142474627,Non-renewable,Residential,4890.7628410588595
City E,2021,6,24.714789609246232,55.967560349358656,168366,10204.668586096997,Renewable,Industrial,1573.517466825479
City B,2015,11,-7.8482641265487185,65.29493702501375,785585,47614.33170122834,Non-renewable,Residential,9082.067669514234
City A,2015,6,22.30614807752322,77.23703481952718,327631,19857.725274292585,Non-renewable,Residential,4129.90999518012
City A,2023,1,30.989384383604886,85.79117052600682,742588,45008.28217105946,Non-renewable,Commercial,7698.228398771381
City C,2023,3,5.613604926650831,80.79465689355946,187362,11356.016747017246,Renewable,Commercial,2408.8701133162713
City C,2018,7,-5.407219668797793,22.26491739081841,23580,1429.184545930694,Non-renewable,Residential,-31.167088922294738
City A,2023,10,0.4788795405878492,73.65102732813324,757669,45922.34205813244,Renewable,Industrial,6574.8156983146655
City B,2017,3,15.30267038564266,59.785237108453856,398677,24163.825581764682,Non-renewable,Industrial,6630.772977520897
City B,2021,3,32.419688439773886,65.90893886828695,247298,14988.739603035145,Renewable,Residential,3273.6411893698273
City D,2020,3,13.052722844875255,49.83729701967015,119048,7215.503045969349,Non-renewable,Residential,579.8794925148111
City A,2022,12,-4.926822031148668,77.12209716695243,778868,47207.21411874248,Non-renewable,Residential,7026.151088201332
City E,2023,7,18.250242817235208,73.91108096953066,127647,7736.68870799047,Renewable,Residential,350.45320994016834
City E,2019,4,22.97802215545736,66.35891851650925,402948,24422.691026873676,Renewable,Commercial,3880.0197846599085
City B,2015,4,7.697765149675593,88.92844260714517,873997,52972.9858180572,Non-renewable,Commercial,8128.634264132931
City C,2017,3,22.468132895543654,28.152001991331154,591245,35835.37815346875,Renewable,Residential,6095.860362737157
City C,2022,10,4.617026681263539,44.081862073622695,420614,25493.42784572065,Non-renewable,Industrial,6139.067994553534
City B,2020,11,25.509056821838605,59.61043321622623,473340,28689.15237365711,Non-renewable,Commercial,4613.3845669288485
City D,2022,9,5.348247180653104,96.68838490396284,188492,11424.506082763713,Renewable,Residential,5698.035677093178
City A,2023,2,1.524819122028168,25.757070902545536,705605,42766.74137113771,Renewable,Industrial,7898.001544322275
City E,2018,4,29.563163265120878,46.96619919878697,492202,29832.378790338396,Non-renewable,Commercial,7677.820830128936
City B,2015,8,14.68130395289283,94.07124429807598,824071,49946.96937869605,Non-renewable,Commercial,7612.630669673755
City C,2015,6,2.8320329933758135,91.83580539593306,717427,43483.273165115344,Non-renewable,Residential,7004.746713399739
City A,2018,7,32.07891003411803,89.21964565660818,574422,34815.735591289274,Non-renewable,Industrial,5898.4921534990735
City E,2021,7,21.088302895972216,44.671236480110714,604586,36643.976585498494,Renewable,Residential,6440.421793929523
City D,2016,2,-0.06848201549947674,87.74686238008043,54967,3331.551608828348,Non-renewable,Commercial,1671.2473856207953
City B,2017,4,17.658905956675127,60.42715295167349,275184,16678.910945182022,Renewable,Industrial,1723.9869751499323
City A,2015,10,29.166147408006104,69.58230752338899,213967,12968.546638640915,Non-renewable,Commercial,3661.9484786614053
City E,2019,10,21.326891414302587,39.10599243686953,654258,39654.59807682459,Renewable,Residential,6290.43112934839
City D,2015,6,1.0141617842058697,76.53391111352809,566954,34363.09987504625,Non-renewable,Residential,7920.098999378701
City C,2022,3,19.198174791253166,46.21576834045114,401420,24330.07889853686,Renewable,Commercial,4814.6154416460695
City A,2015,9,17.862171772409038,47.51043408965212,508582,30825.171108503993,Non-renewable,Residential,6786.450403800327
City B,2015,4,26.93796486104099,70.94537408748604,38897,2357.5484004693044,Renewable,Residential,559.4303394691428
City E,2016,10,-1.9840331351485077,39.186553773925674,838182,50802.23753508401,Renewable,Commercial,9157.902513778537
City C,2016,2,21.483560015061194,37.95509785966533,232684,14102.984600735266,Renewable,Industrial,2274.744583935509
City C,2020,6,-8.76831885398341,49.5330354076862,310159,18798.746801582616,Non-renewable,Commercial,3889.5342781422596
City E,2021,1,21.32788852860954,82.24509000473869,547469,33182.11340865696,Renewable,Commercial,6371.176646935377
City E,2019,6,33.219678677235066,37.97456392505194,909534,55126.88451223612,Renewable,Industrial,11205.269854843775
City E,2015,12,-2.1525280187672147,82.98547124429224,548156,33223.75250038954,Non-renewable,Residential,6848.223652301508
City A,2015,10,4.0084897768554,75.64842217318,617431,37422.51244183775,Non-renewable,Industrial,7105.5092873195
City B,2017,1,16.229220741284806,74.32639043761196,29107,1764.1761907720402,Non-renewable,Commercial,1016.9287402076916
City C,2016,8,22.957777063576508,57.98045389707284,546360,33114.8968835748,Renewable,Industrial,6093.047905868944
City D,2019,5,5.496712568204046,79.67102666874808,229647,13918.911934662683,Renewable,Residential,1274.804782314626
City E,2020,6,19.89165397130619,21.081561608310324,259527,15729.939679887837,Renewable,Industrial,1785.0947366703042
City B,2021,2,30.467545664134988,44.44858065323375,313099,18976.940294586697,Renewable,Industrial,2773.3139879824093
City D,2018,2,22.695145425091788,74.33099710590515,683175,41407.258361586166,Non-renewable,Commercial,9130.343980762204
City A,2021,12,21.996022292100985,98.98363394122262,185020,11214.06805293032,Renewable,Industrial,2043.7893000840322
City C,2022,9,7.1886796287477175,20.201147286742078,657400,39845.03479621875,Non-renewable,Commercial,6337.591646610607
City B,2015,3,31.014318897719036,60.797781202696626,884554,53612.84592201777,Renewable,Residential,10123.316098361716
City B,2020,6,2.479532388248499,93.90691432296195,557766,33806.21490439268,Non-renewable,Industrial,5188.052477829272
City C,2022,10,-0.7623839521134688,89.0831507853339,879353,53297.61314748912,Non-renewable,Industrial,10696.924008396541
City C,2019,5,6.390077017692672,21.850895580353715,198231,12014.787180847641,Renewable,Commercial,-390.2858096248556
City E,2018,12,19.25702993323223,62.36465018805482,651075,39461.67634613344,Renewable,Commercial,8289.397680313466
City C,2016,4,28.7755093787528,20.342968113354686,164969,9998.77630863616,Renewable,Residential,3905.262567071474
City B,2020,10,-4.056454794370731,83.16599585859004,297172,18011.60432075132,Non-renewable,Commercial,3707.6605126067147
City E,2020,2,26.621097976707333,44.70998736714766,297256,18016.695563408583,Non-renewable,Commercial,2785.0664142764545
City C,2015,8,26.577052760104777,81.24725295322308,847005,51336.99984419115,Renewable,Residential,10143.14830925921
City D,2023,10,16.411371046553874,95.58346733628575,503558,30520.666309574568,Non-renewable,Commercial,4963.463724133196
City D,2020,7,24.229157281011155,98.08680433241187,967334,58630.144340683706,Renewable,Commercial,12576.210706077116
City C,2017,11,-1.815368583178568,91.52889447025116,122527,7426.3653460241785,Renewable,Commercial,2239.5798898625744
City B,2018,2,-2.368629963067897,36.331476253997295,319370,19357.02580296377,Renewable,Commercial,2454.629954548038
City E,2018,6,28.82600153579272,35.56801359423975,755112,45767.362207244194,Renewable,Residential,8892.102880283015
City E,2017,8,12.41667967555551,70.06243463089822,728421,44149.619852899996,Non-renewable,Residential,6769.605760389729
City E,2017,7,1.0671746413782088,63.52429457983806,973673,59014.351331211896,Renewable,Commercial,9333.492443678915
City A,2017,1,20.99286609228457,20.762768624107906,303290,18382.416494288387,Non-renewable,Industrial,4138.150245286431
City C,2018,5,30.13438251203994,51.338188092106336,491613,29796.679481705945,Non-renewable,Residential,4801.801198036975
City A,2021,2,18.45451906749124,92.53528044137403,917413,55604.43095148073,Non-renewable,Industrial,10000.64368865327
City A,2018,6,5.630526932300775,91.86872151358895,263466,15968.682594494325,Non-renewable,Commercial,3744.6724138101986
City D,2023,7,11.745699438185653,36.31255072768279,49568,3004.3180480361593,Non-renewable,Commercial,124.70043871857729
City E,2015,7,23.85212574254028,50.55704553258086,472995,28668.241912743364,Renewable,Residential,4705.132451778398
City A,2022,3,-6.962444700742561,64.8292808796866,361960,21938.40705025759,Non-renewable,Industrial,5613.66212261032
City B,2021,7,-0.22759678196009858,88.22274120737795,750558,45491.34412318277,Renewable,Residential,8671.29966670708
City C,2016,5,10.816243399225122,62.55955513930786,253857,15386.280800522822,Renewable,Residential,2964.5051015209096
City B,2022,8,17.19084338436944,97.45598499704279,723967,43879.662772001975,Renewable,Residential,7857.3135590598
City E,2015,12,5.262451596904601,83.92417103903104,230992,14000.432427210468,Renewable,Commercial,1602.966888611378
City D,2023,8,3.4275914841446316,96.24734983828975,949519,57550.37662712326,Non-renewable,Industrial,10546.035839046708
City B,2023,7,-8.137711193512542,78.51937747010746,471276,28564.05326836445,Non-renewable,Commercial,5164.616878686531
City B,2016,6,-8.53292025768486,90.20993114900239,347368,21053.98546865366,Renewable,Commercial,4777.327380177121
City A,2021,2,2.5412684436271515,86.48030339022796,543638,32949.91637746694,Renewable,Commercial,3829.722362708117
City B,2017,6,13.872774504029437,40.30707853929024,371896,22540.628324573423,Renewable,Residential,3881.1278158641894
City D,2021,12,15.036717340043516,38.362913876341494,563333,34143.63095049939,Renewable,Commercial,5922.231731090667
City B,2023,11,12.2312371790091,89.15067403653852,470518,28518.110864385846,Renewable,Commercial,5640.329854906583
City B,2018,9,8.444630780127543,26.774219001625834,767375,46510.62302517244,Renewable,Commercial,8171.146344006032
City E,2015,2,1.353121516759435,52.68508837597855,387902,23510.75249090789,Non-renewable,Commercial,4705.747437088958
City D,2016,1,8.031249421675199,85.65262162284472,388828,23566.87738020101,Non-renewable,Commercial,4224.840700439539
City B,2015,11,-3.7558015576518926,85.05914654729389,134663,8161.928689934904,Non-renewable,Commercial,494.9363851607377
City E,2019,5,-4.8133346938283434,31.102624854421563,12353,748.7157207753122,Non-renewable,Industrial,-1227.5355187030602
City C,2019,11,3.4974465566206128,59.016784068576754,13578,822.9630095270128,Renewable,Residential,404.83316782374726
City B,2021,6,34.79069583922488,58.38659221801046,970512,58822.76302121669,Non-renewable,Commercial,13402.147263743782
City B,2023,3,4.692362638237931,45.89771619513748,78203,4739.886303876931,Non-renewable,Residential,1646.1224645242446
City E,2023,8,32.140537565979734,93.37449160514693,5013,303.83808858144903,Renewable,Industrial,3378.3796510816915
City E,2017,7,7.651796559546231,72.24940896045854,847981,51396.15523506598,Non-renewable,Industrial,9663.865481138659
City E,2017,2,9.75544960398242,98.41499918754964,156642,9494.076575219497,Renewable,Residential,1112.0798370026819
City B,2017,12,25.867829744100327,25.341296866140706,123163,7464.913326143429,Renewable,Industrial,1496.3475811908365
City A,2018,7,-5.786275264864448,51.548013832874545,213376,12932.726109945197,Renewable,Commercial,4881.012905013266
City A,2022,1,-1.795900438286223,86.81100496790485,316299,19170.89239581563,Renewable,Industrial,4373.321531938609
City E,2020,9,33.822811923884665,53.814853536972734,360325,21839.30964853593,Renewable,Commercial,4977.695953709308
City A,2022,7,12.766280298231258,40.95024216346594,168479,10211.517519671645,Non-renewable,Residential,1335.0698483960805
City C,2015,6,-8.006064300611637,99.82460354536857,139362,8446.735228583264,Renewable,Residential,1826.8263211954838
City A,2022,2,-7.867867012477728,89.84999117618511,770515,46700.93852450333,Non-renewable,Residential,7052.3189036892145
City A,2018,3,30.825830769982673,63.717892903955885,132771,8047.254510083298,Renewable,Residential,1527.4987482789604
City B,2015,1,29.301429030142295,64.9367388997286,590570,35794.466382115774,Renewable,Residential,6718.263372166593
City A,2022,10,10.627959812529504,20.54903684701226,918623,55677.76908975792,Renewable,Residential,8834.584329235542
City E,2018,5,-2.6550061324930567,98.47956647064895,438914,26602.591424623603,Non-renewable,Commercial,5838.479456807739
City B,2020,9,27.362807286311586,84.50361295259933,63946,3875.769082870405,Renewable,Residential,761.5602700948538
City A,2022,6,4.607004827584273,22.93834876357031,739941,44847.847417324156,Non-renewable,Industrial,7926.216551491015
City C,2018,5,8.85762793983929,34.10641537273251,706119,42797.89492739761,Non-renewable,Commercial,8350.983807178898
City B,2017,12,20.71143705721931,85.68249842379399,730722,44289.083535689926,Non-renewable,Commercial,10064.244270076884
City B,2023,3,5.902925903344451,26.949243861756855,241916,14662.536412780735,Renewable,Commercial,2993.4590198472056
City B,2017,5,18.290146701423186,95.34285820076536,764824,46356.00683447401,Non-renewable,Commercial,7327.713622763361
City A,2023,8,29.837721969916295,99.99128497205001,336653,20404.548979694904,Renewable,Residential,4169.924435296248
City E,2016,12,25.881797094851485,90.91462476642337,294262,17835.22912869626,Renewable,Residential,5633.998707180659
City D,2016,2,7.172498324022218,79.11231914860134,293362,17780.680100225625,Renewable,Residential,4368.762339710999
City D,2016,5,2.9571449616680656,58.98258809350185,293209,17771.406765385615,Renewable,Industrial,3467.040835669041
City D,2020,6,2.8479701932801547,26.594366107789888,355651,21556.018360678423,Renewable,Residential,4313.646454584422
City A,2017,10,5.686601766946238,78.43569854737615,526954,31938.698609684598,Renewable,Residential,6030.128360060553
City C,2023,8,12.208264402614752,51.74921232223092,312162,18920.1486949456,Non-renewable,Industrial,2245.4533387824995
City B,2018,8,8.74688663122744,65.61829049173396,985048,59703.79044104912,Renewable,Residential,10531.148050253607
City B,2015,5,-4.014819055555397,43.47123809133025,429714,26044.979133590423,Renewable,Residential,3804.3951408712896
City E,2018,9,-2.644486374974127,39.37248076117932,494828,29991.540733409387,Non-renewable,Commercial,4602.99430666266
City B,2015,4,5.431832422918253,45.943756691712395,191601,11612.942671113948,Non-renewable,Residential,1928.1485429607258
City E,2019,12,15.29288450264858,85.10624187309703,679977,41213.4274804205,Renewable,Industrial,5340.150207899385
City A,2018,9,16.669877756007264,54.1193232127648,887862,53813.343906663176,Renewable,Commercial,9202.065834315004
City D,2022,11,11.879317920348349,44.93663295700386,195111,11825.683882149433,Non-renewable,Industrial,626.9202845115083
City E,2022,7,23.244914654338153,54.63763178199366,415986,25212.924619318303,Non-renewable,Industrial,5527.886216321163
City E,2021,6,23.176195494053147,22.582989275717466,733439,44453.76099163962,Renewable,Residential,5671.817532311781
City B,2017,4,9.243236225932485,91.24834262523065,452160,27405.431903648114,Non-renewable,Commercial,3362.89302517791
City A,2015,2,-4.400163515757508,64.14092473335026,940085,56978.58158868772,Non-renewable,Residential,7852.895668193059
City D,2015,8,13.857864639520542,28.38609816965321,416885,25267.41303775731,Renewable,Commercial,4786.746122312817
City A,2017,6,7.1661078797224675,43.07255455593082,348202,21104.534235036448,Non-renewable,Commercial,3784.1482614770407
